,name,score,process_url
124,AMD Ryzen 5 2500U,6626,https://www.solotodo.cl/notebooks?processors=735177
125,AMD Ryzen 7 Pro 2700U,6595,https://www.solotodo.cl/notebooks?processors=863498
126,AMD Ryzen 7 2700U,6595,https://www.solotodo.cl/notebooks?processors=876975
127,Intel Core i7-8665U,6587,https://www.solotodo.cl/notebooks?processors=986321
128,Intel Core i7-8650U,6582,https://www.solotodo.cl/notebooks?processors=775292
129,Intel Core i7-2860QM,6580,https://www.solotodo.cl/notebooks?processors=125203
130,Intel Core i7-8565U,6527,https://www.solotodo.cl/notebooks?processors=842528
131,Intel Core i5-10210U,6482,https://www.solotodo.cl/notebooks?processors=1020712
132,Intel Core i7-6700HQ,6476,https://www.solotodo.cl/notebooks?processors=126615
133,Intel Core i5-8365U,6440,https://www.solotodo.cl/notebooks?processors=971180
134,Intel Core i3-1115G4,6436,https://www.solotodo.cl/notebooks?processors=1294448
135,Intel Core i7-4960HQ,6433,https://www.solotodo.cl/notebooks?processors=1405053
136,Intel Core i7-2820QM,6412,https://www.solotodo.cl/notebooks?processors=125175
137,Intel Core i5-8350U,6383,https://www.solotodo.cl/notebooks?processors=763201
138,Intel Core i7-2675QM,6300,https://www.solotodo.cl/notebooks?processors=125060
139,Intel Core i7-6500U,6275,https://www.solotodo.cl/notebooks?processors=126545
140,Intel Core i5-8265U,6264,https://www.solotodo.cl/notebooks?processors=842504
141,Intel Core i7-2720QM,6258,https://www.solotodo.cl/notebooks?processors=125121
142,Intel Core i7-2670QM,6140,https://www.solotodo.cl/notebooks?processors=125036
143,Intel Core i7-4770HQ,6111,https://www.solotodo.cl/notebooks?processors=126154
144,Intel Core i5-8250U,6078,https://www.solotodo.cl/notebooks?processors=674295
145,Intel Core i5-2250U,6050,https://www.solotodo.cl/notebooks?processors=1243203
146,AMD Ryzen 3 Pro 3300U,6007,https://www.solotodo.cl/notebooks?processors=974275
147,Intel Core i7-7660U,6003,https://www.solotodo.cl/notebooks?processors=939356
148,Intel Core i7-8550U,5998,https://www.solotodo.cl/notebooks?processors=684650
