id,name,price,today,diff price,diff percent,url,processor,screen,ram,hard drive,08/12/21,09/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21
125565,HP ProOne 400 G6 (468G6LS),1234865,1226750,-8115,1,https://www.solotodo.cl/products/125565-hp-proone-400-g6-468g6ls,Intel Core i7 10700 (2900 - 4800 MHz) (Octa-Core),"23.8"" FullHD (1920x1080)",16 GB,"HDD 1000 GB
SSD 512 GB",1229423,1229423,1226750,1226750,1229423,1229423,1261090,1261040,1261040,1226750,1226750,1226750,1226750,1226750,1226750
56416,Lenovo V530 (10UW000PCS),2292844,2287504,-5340,0,https://www.solotodo.cl/products/56416-lenovo-v530-10uw000pcs,Intel Core i7 8700 (3200 - 4600 MHz) (Six-Core),"23.8"" FullHD (1920x1080)",8 GB,HDD 1000 GB,2292488,2292488,2287504,2287504,2292488,2292488,2287504,2287504,2342324,2287504,2287504,2287504,2287504,2287504,2287504
70364,HP ProOne 400 G5 (8QV18LA),939209,937022,-2187,0,https://www.solotodo.cl/products/70364-hp-proone-400-g5-8qv18la,Intel Core i5 9500 (3000 - 4400 MHz) (Six-Core),"23.8"" FullHD (1920x1080)",8 GB,HDD 1000 GB,939063,939063,937022,937022,939063,939063,937022,937022,959478,937022,937022,937022,937022,937022,937022
107103,HP 22-DF0011LA (140R8AA),549990,549990,0,0,https://www.solotodo.cl/products/107103-hp-22-df0011la-140r8aa,Intel Core i5 10210U (1600 - 2400 MHz) (Quad-core),"21.5"" FullHD (1920x1080)",8 GB,HDD 1000 GB,549990,549990,549990,549990,549990,549990,549990,549990,549990,549990,549990,549990,549990,549990,549990
93991,"Apple iMac Retina 5K 27"" (MXWT2CI/A)",1599990,1599990,0,0,https://www.solotodo.cl/products/93991-apple-imac-retina-5k-27-mxwt2cia,Intel Core i5 10500 (3100 - 4500 MHz) (Six-Core),"27.0"" 5K Retina Display (5120x2880)",8 GB,SSD 256 GB,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990,1599990
62094,"Apple iMac Retina 4K 21.5"" (MRT42CI/A)",1469990,1469990,0,0,https://www.solotodo.cl/products/62094-apple-imac-retina-4k-215-mrt42cia,Intel Core i5 8500 (3000 - 4100 MHz) (Six-Core),"21.5"" Retina 4K Display (4096x2304)",8 GB,HDD 1000 GB,1469990,1469990,1469990,1469990,1469990,1469990,1469990,1469990,1469990,1469990,1469990,1469990,1469990,1469990,1469990
113337,"Apple iMac Retina 4.5K 24"" (MGPK3CI/A)",1454990,1454990,0,0,https://www.solotodo.cl/products/113337-apple-imac-retina-45k-24-mgpk3cia,Apple M-Series M1 (3200 - 3200 MHz) (Octa-Core),"23.5"" 4.5K Retina Display (4480x2520)",8 GB,SSD 256 GB,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990,1454990
85481,HP Pavilion 24-K0001LA (7WS93AA),1099990,1099990,0,0,https://www.solotodo.cl/products/85481-hp-pavilion-24-k0001la-7ws93aa,Intel Core i5 10400T (2000 - 3600 MHz) (Six-Core),"23.8"" Táctil FullHD (1920x1080)",8 GB,"HDD 1000 GB
SSD 256 GB",1099990,1099990,1099990,1099990,1099990,1099990,1099990,1099990,1099990,1099990,1099990,1099990,1099990,1099990,1099990
117665,"Apple iMac 27"" Mid 2015 8GB 1TB HHD (MF885LL/A)",1049990,1049990,0,0,https://www.solotodo.cl/products/117665-apple-imac-27-mid-2015-8gb-1tb-hhd-mf885lla,Intel Core i5 4590 (3300 - 3700 MHz) (Quad-core),"27.0"" 5K Retina Display (5120x2880)",8 GB,HDD 1000 GB,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990,1049990
101276,ASUS Vivo V241EAK-BA015T (90PT02T2-M00590),872990,872990,0,0,https://www.solotodo.cl/products/101276-asus-vivo-v241eak-ba015t-90pt02t2-m00590,Intel Core i5 1135G7 (2400 - 4200 MHz) (Quad-core),"23.8"" FullHD (1920x1080)",8 GB,"HDD 1000 GB
SSD 256 GB",,,,,,,,,,,,,872990,872990,872990
97208,"Apple iMac Retina 5K 27"" (MXWU2CI/A)",1849990,1849990,0,0,https://www.solotodo.cl/products/97208-apple-imac-retina-5k-27-mxwu2cia,Intel Core i5 10500 (3100 - 4500 MHz) (Six-Core),"27.0"" 5K Retina Display (5120x2880)",8 GB,SSD 512 GB,1849990,1849990,1849990,1849990,1849990,1849990,1849990,1849990,1849990,1849990,1849990,1849990,1849990,1849990,1849990
48616,HP 24-F018LA (3US81AA),599990,599990,0,0,https://www.solotodo.cl/products/48616-hp-24-f018la-3us81aa,Intel Core i5 8250U (1600 - 3400 MHz) (Quad-core),"23.8"" FullHD (1920x1080)",8 GB,HDD 2000 GB,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990,599990
113188,Lenovo V50a-24IMB (11FJ00DKCS),1165592,1165592,0,0,https://www.solotodo.cl/products/113188-lenovo-v50a-24imb-11fj00dkcs,Intel Core i5 10700T (2000 - 4500 MHz) (Octa-Core),"23.8"" FullHD (1920x1080)",8 GB,SSD 512 GB,,,,,1165592,1165592,1165592,1165592,1165592,1165592,1165592,1165592,1165592,1165592,1165592
120979,HP ProOne 400 G5 (i5-9500T / 8GB / 512GB SSD),899990,899990,0,0,https://www.solotodo.cl/products/120979-hp-proone-400-g5-i5-9500t-8gb-512gb-ssd,Intel Core i5 9500T (2200 - 3700 MHz) (Six-Core),"23.8"" FullHD (1920x1080)",8 GB,SSD 512 GB,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990,899990
