id,name,price,today,diff price,diff percent,url,capacity,frecuency,volts,type,format,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22
114413,Kingston KVR32S22S8/8 (1 x 8GB | SO-DIMM DDR4-3200),41212,45990,4778,-12,https://www.solotodo.cl/products/114413-kingston-kvr32s22s88-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,37990,37990,37990,40446,40446,40446,37990,37990,37990,40446,38250,37515,37515,37515,37515,37515,37515,38304,38304,38294,38294,38294,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,45990,39990,39990,39990,39990,39990,38990,38990,38990,38990,38990,38990,38990,38990,45990,45990,45990,45990,45990,45990
107712,Kingston KVR32S22D8/16 (1 x 16GB | SO-DIMM DDR4-3200),76041,84990,8949,-12,https://www.solotodo.cl/products/107712-kingston-kvr32s22d816-1-x-16gb-so-dimm-ddr4-3200,1 x 16GB,3200 MHz,1.20 V,DDR4,SO-DIMM,68338,68338,68338,70940,68189,68189,68338,68338,68189,68189,71340,68189,68189,68189,68189,68189,68189,73040,73040,73190,75693,75693,75693,75693,75693,75693,75693,75693,75693,75693,75693,75693,75693,75693,75693,75693,75693,75693,75693,83990,87990,87990,87990,87990,87990,87990,84990,84990,84990,84990,84990,84990,84990,84990
117516,Kingston Fury Impact KF429S17IB/8 (1 x 8GB | SO-DIMM DDR4-2933),43025,48970,5945,-14,https://www.solotodo.cl/products/117516-kingston-fury-impact-kf429s17ib8-1-x-8gb-so-dimm-ddr4-2933,1 x 8GB,2933 MHz,1.20 V,DDR4,SO-DIMM,39671,39671,39671,40135,39585,39585,39671,41344,41294,48990,43990,43990,43990,38396,38396,38396,38396,39470,39470,39470,38912,38862,38862,38862,38862,41900,40382,40382,38777,38777,44990,41900,44990,51792,44990,51792,51792,44990,,44990,,,,,,48990,48990,48970,48970,48970,48970,48970,48970,48970
92518,Kingston KCP432SD8/16 (1 x 16GB | SO-DIMM DDR4-3200),77629,89990,12361,-16,https://www.solotodo.cl/products/92518-kingston-kcp432sd816-1-x-16gb-so-dimm-ddr4-3200,1 x 16GB,3200 MHz,1.20 V,DDR4,SO-DIMM,71684,71684,71684,71694,71694,71694,71694,71694,71694,71694,71694,71694,71694,74991,74991,75041,74991,76573,76573,76513,76513,76513,76573,76573,76573,76573,76563,76613,76613,76623,76623,76623,76623,76623,76623,76623,76623,76623,76623,76623,79990,74851,75990,79990,89990,89990,89990,89990,89990,89990,89990,89990,89990,89990
97726,Apacer Nox A4S16G32CLYBDAA-1 (1 x 16GB | SO-DIMM DDR4-3200),75250,129990,54740,-73,https://www.solotodo.cl/products/97726-apacer-nox-a4s16g32clybdaa-1-1-x-16gb-so-dimm-ddr4-3200,1 x 16GB,3200 MHz,1.35 V,DDR4,SO-DIMM,119990,119990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,67990,119990,119990,119990,67990,67990,67990,57690,57690,57690,57690,57690,57690,57690,57690,57690,57690,57690,57690,57690,57690,57690,57690,,,,,,,149990,149990,149990,129990
129309,Team T-Create Classic TTCCD432G3200HC22DC-S01 (2 x 16GB | SO-DIMM DDR4-3200),139990,,,,https://www.solotodo.cl/products/129309-team-t-create-classic-ttccd432g3200hc22dc-s01-2-x-16gb-so-dimm-ddr4-3200,2 x 16GB,3200 MHz,1.20 V,DDR4,SO-DIMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,139990,,,139990,139990,,,,,
108013,Kingston KCP432SD8/32 (1 x 32GB | SO-DIMM DDR4-3200),150908,,,,https://www.solotodo.cl/products/108013-kingston-kcp432sd832-1-x-32gb-so-dimm-ddr4-3200,1 x 32GB,3200 MHz,1.20 V,DDR4,SO-DIMM,,,,,,,,,,,,,,150920,150920,150920,,,157990,157490,152810,155012,155490,155490,155012,153290,,150840,147203,147203,147203,149410,149770,,,,,,,,,144267,142423,144490,,,,,,,,,,
84708,Team TED48G3200C22-S01 (1 x 8GB | SO-DIMM DDR4-3200),50000,,,,https://www.solotodo.cl/products/84708-team-ted48g3200c22-s01-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,,,,,,,,,,
93025,Kingston KVR32S22S6/8 (1 x 8GB | SO-DIMM DDR4-3200),43994,,,,https://www.solotodo.cl/products/93025-kingston-kvr32s22s68-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,43281,43281,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,38304,38304,38304,38304,38304,44990,44990,44990,44990,49990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,44990,39990,39990,,,,,,,,,,,,
124263,Corsair Vengeance CMSX32GX4M2A2933C19 (2 x 16GB | SO-DIMM DDR4-2933),183263,,,,https://www.solotodo.cl/products/124263-corsair-vengeance-cmsx32gx4m2a2933c19-2-x-16gb-so-dimm-ddr4-2933,2 x 16GB,2933 MHz,1.20 V,DDR4,SO-DIMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188990,188990,188990,188990,179990,179990,179990,179990,179990,179990,179990,,,,,,,,,,,,
125634,Kingston Fury Impact KF432S20IB/32 (1 x 32GB | SO-DIMM DDR4-3200),165870,,,,https://www.solotodo.cl/products/125634-kingston-fury-impact-kf432s20ib32-1-x-32gb-so-dimm-ddr4-3200,1 x 32GB,3200 MHz,1.20 V,DDR4,SO-DIMM,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,165870,,,,,,,,,,,,,,,,,
86803,Kingston KCP432SS8/16 (1 x 16GB | SO-DIMM DDR4-3200),83542,,,,https://www.solotodo.cl/products/86803-kingston-kcp432ss816-1-x-16gb-so-dimm-ddr4-3200,1 x 16GB,3200 MHz,1.20 V,DDR4,SO-DIMM,,,,,,,,89990,89990,,,,,,,,,,,,,,,,,,,,,,,,,77116,77070,,,,,,,,,,,,,,,,,,,
92626,Kingston KVR32S22S8/16 (1 x 16GB | SO-DIMM DDR4-3200),71800,,,,https://www.solotodo.cl/products/92626-kingston-kvr32s22s816-1-x-16gb-so-dimm-ddr4-3200,1 x 16GB,3200 MHz,1.20 V,DDR4,SO-DIMM,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,71800,,,,,,,,,,,,,,,,,,,
127246,Samsung M471A1K43DB1-CWE (1 x 8GB | SO-DIMM DDR4-3200),44289,,,,https://www.solotodo.cl/products/127246-samsung-m471a1k43db1-cwe-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,,,,,,,44289,44289,44289,44289,44289,44289,44289,44289,44289,44289,,,44289,44289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83260,Kingston HyperX Impact HX429S17IB2/8 (1 x 8GB | SO-DIMM DDR4-2933),39990,,,,https://www.solotodo.cl/products/83260-kingston-hyperx-impact-hx429s17ib28-1-x-8gb-so-dimm-ddr4-2933,1 x 8GB,2933 MHz,1.20 V,DDR4,SO-DIMM,,,,,,,,39990,39990,39990,39990,39990,39990,39990,39990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123992,Hynix HMA81GS6DJR8N-XN (1 x 8GB | SO-DIMM DDR4-3200),33900,,,,https://www.solotodo.cl/products/123992-hynix-hma81gs6djr8n-xn-1-x-8gb-so-dimm-ddr4-3200,1 x 8GB,3200 MHz,1.20 V,DDR4,SO-DIMM,33900,33900,33900,33900,33900,33900,33900,33900,33900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124270,Crucial Ballistix BL2K16G32C16S4B (2 x 16GB | SO-DIMM DDR4-3200),213990,,,,https://www.solotodo.cl/products/124270-crucial-ballistix-bl2k16g32c16s4b-2-x-16gb-so-dimm-ddr4-3200,2 x 16GB,3200 MHz,1.35 V,DDR4,SO-DIMM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213990,,,,,,,,,,,,
