id,name,processor name,score,price,today,diff price,diff percent,ram,screen,graphic card,hard drive,url,21/10/21,25/10/21,26/10/21,28/10/21,29/10/21,02/11/21,03/11/21,05/11/21,06/11/21,07/11/21,08/11/21,10/11/21,11/11/21,12/11/21,15/11/21,16/11/21,17/11/21,19/11/21,20/11/21,22/11/21,23/11/21,24/11/21,25/11/21,26/11/21,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21,03/12/21,05/12/21,06/12/21,07/12/21,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21,13/12/21,14/12/21,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22
114633,Dell G5 15 Gaming 5510 [3PT62],Intel Core i7-10870H,16273,1357990,,,,16 GB DDR4 (2933 MHz),"LED 15.6"" (1920x1080) / 120 Hz","Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce RTX 3050 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/114633-dell-g5-15-gaming-5510-3pt62,1357990,1357990,1357990,1357990,1357990,,,,,,,,,,,,,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,1357990,,,,,,,
120452,Dell G5 15 Gaming 5510 (i7-10870H / 16GB / 512GB SSD / RTX 3060 6GB / 120Hz / W10H),Intel Core i7-10870H,16273,1699000,,,,16 GB DDR4 (2933 MHz),"LED 15.6"" (1920x1080) / 120 Hz","Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce RTX 3060 (6 GB)",SSD 512GB,https://www.solotodo.cl/products/120452-dell-g5-15-gaming-5510-i7-10870h-16gb-512gb-ssd-rtx-3060-6gb-120hz-w10h,1699000,1699000,1699000,1699000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124056,ASUS ROG Strix G15 G512LWS-PH74,Intel Core i7-10870H,16273,1749000,1749000,0,0,16 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 144 Hz","Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce RTX 2070 Super (8 GB)",SSD 512GB,https://www.solotodo.cl/products/124056-asus-rog-strix-g15-g512lws-ph74,,,,,,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000,1749000
119122,MSI GE66 Raider 10UH (i7-10870H / 32GB / 1TB SSD / RTX 3080 16GB),Intel Core i7-10870H,16273,2190000,,,,32 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 300 Hz","Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce RTX 3080 (16 GB)",SSD 1TB,https://www.solotodo.cl/products/119122-msi-ge66-raider-10uh-i7-10870h-32gb-1tb-ssd-rtx-3080-16gb,,,,,,,,2190000,2190000,2190000,2190000,2190000,2190000,2190000,2190000,2190000,2190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125091,Dell G5 15 Gaming 5510 [G5510_i716512P1BW10sCC_122],Intel Core i7-10870H,16273,1290774,1199990,-90784,7,16 GB DDR4 (2933 MHz),"LED 15.6"" (1920x1080) / 120 Hz","Intel UHD Graphics 630 (Integrada)
NVIDIA GeForce RTX 3050 Ti (4 GB)",SSD 512GB,https://www.solotodo.cl/products/125091-dell-g5-15-gaming-5510-g5510_i716512p1bw10scc_122,,,,,,,,,,,,,,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1249990,1499990,1499990,1499990,1499990,1499990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1299990,1219990,1219990,1219990,1219990,1219990,1219990,1219990,1219990,1219990,1199990
128713,Huawei Matebook 14 2021 (Ryzen 7 5700U / 8 GB / 512 GB SSD / Space Gray),AMD Ryzen 7 5700U,16258,959990,959990,0,0,8 GB DDR4 (3200 MHz),"LED 14.0"" (2160x1440) / 60 Hz",AMD Radeon RX Vega 8 (Integrada),SSD 512GB,https://www.solotodo.cl/products/128713-huawei-matebook-14-2021-ryzen-7-5700u-8-gb-512-gb-ssd-space-gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959990,959990,959990,959990,959990,959990,959990
114166,Acer Aspire 7 A715-42G-R366 [NH.QAYAL.001],AMD Ryzen 7 5700U,16258,810146,799990,-10156,1,8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 60 Hz","AMD Radeon RX Vega 8 (Integrada)
NVIDIA GeForce GTX 1650 (4 GB)",SSD 256GB,https://www.solotodo.cl/products/114166-acer-aspire-7-a715-42g-r366-nhqayal001,849990,849990,849990,849990,849990,849990,849990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,819990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990,799990
122011,Lenovo IdeaPad 5 15ALC05 [82LN004MCL / 82LN00C6CL],AMD Ryzen 7 5700U,16258,644365,599990,-44375,7,8 GB DDR4 (3200 MHz),"LED 15.6"" (1920x1080) / 60 Hz",AMD Radeon RX Vega 8 (Integrada),SSD 512GB,https://www.solotodo.cl/products/122011-lenovo-ideapad-5-15alc05-82ln004mcl-82ln00c6cl,669990,659990,659990,659990,659990,659990,659990,659990,639990,639990,639990,639990,639990,639990,629990,629990,629990,629990,649990,649990,649990,649990,649990,629990,629990,629990,629990,629990,629990,629990,599990,599990,659990,599990,599990,659990,659990,679990,679990,679990,679990,679990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,649990,599990,599990,599990,599990
122736,ASUS Zenbook 13 UM325UA (Ryzen 7 5700U / 8GB / 512GB SSD / OLED / W10H / Pine Grey),AMD Ryzen 7 5700U,16258,755146,749990,-5156,1,8 GB LPDDR4X (3733 MHz),"LED 13.3"" (1920x1080) / 60 Hz",AMD Radeon RX Vega 8 (Integrada),SSD 512GB,https://www.solotodo.cl/products/122736-asus-zenbook-13-um325ua-ryzen-7-5700u-8gb-512gb-ssd-oled-w10h-pine-grey,899990,899990,829990,829990,799990,799990,799990,799990,799990,799990,799990,799990,779990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,649990,649990,649990,649990,649990,729990,729990,729990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990,749990
114951,ASUS Zenbook 14 UM425UA-AM227T,AMD Ryzen 7 5700U,16258,757990,,,,8 GB LPDDR4X (3200 MHz),"LED 14.0"" (1920x1080) / 60 Hz",AMD Radeon RX Vega 8 (Integrada),SSD 512GB,https://www.solotodo.cl/products/114951-asus-zenbook-14-um425ua-am227t,749990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,749990,749990,749990,749990,749990,749990,749990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,759990,,,,,,,,,,,,,,,,,,,,,,,,,
