id,name,price,today,diff price,diff percent,url,type,hz,size driver,microphone,connection,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21
103885,Bose QuietComfort Earbuds - Soapstone,264990,264990,0,0,https://www.solotodo.cl/products/103885-bose-quietcomfort-earbuds-soapstone,True Wireless,,,Montado (invisible),Bluetooth,264990,264990,264990,264990,264990
118637,Beats Solo3 Wireless - Mickey Mouse (MU8X2LL/A),434990,434990,0,0,https://www.solotodo.cl/products/118637-beats-solo3-wireless-mickey-mouse-mu8x2lla,Over-Ear / Headset,,,Montado (invisible),"3.5 mm.
Bluetooth",434990,434990,434990,434990,434990
47031,Bose QuietComfort 35 II (Negro) (QC35IIB),309990,309990,0,0,https://www.solotodo.cl/products/47031-bose-quietcomfort-35-ii-negro-qc35iib,Over-Ear / Headset,,,Montado (invisible),Bluetooth,309990,309990,309990,309990,309990
47316,Beats Solo3 Wireless - Gold (MNER2BE/A),386990,386990,0,0,https://www.solotodo.cl/products/47316-beats-solo3-wireless-gold-mner2bea,Over-Ear / Headset,,,Montado (invisible),"3.5 mm.
Bluetooth",386990,386990,386990,386990,386990
70684,Sennheiser PXC 550-II Wireless (508337),179900,179900,0,0,https://www.solotodo.cl/products/70684-sennheiser-pxc-550-ii-wireless-508337,Over-Ear / Headset,17 - 23000 Hz.,32 mm.,Montado (invisible),Bluetooth,179900,179900,179900,179900,179900
85257,Samsung Galaxy Buds Live - Mystic Black (SM-R180NZKALTA),99990,99990,0,0,https://www.solotodo.cl/products/85257-samsung-galaxy-buds-live-mystic-black-sm-r180nzkalta,True Wireless,20 - 20000 Hz.,12 mm.,Montado (invisible),Bluetooth,99990,99990,99990,99990,99990
67678,Skullcandy Venue Active Noise Cancelling Headphones - White,169990,169990,0,0,https://www.solotodo.cl/products/67678-skullcandy-venue-active-noise-cancelling-headphones-white,Over-Ear / Headset,,40 mm.,Montado (invisible),Bluetooth,169990,169990,169990,169990,169990
47034,Beats Solo3 Wireless - Black (MP582BE/A),149990,149990,0,0,https://www.solotodo.cl/products/47034-beats-solo3-wireless-black-mp582bea,Over-Ear / Headset,,,Montado (invisible),"3.5 mm.
Bluetooth",149990,149990,149990,149990,149990
76137,Beats Solo3 Wireless Club Collection - Yellow (MV8U2LL/A),406990,406990,0,0,https://www.solotodo.cl/products/76137-beats-solo3-wireless-club-collection-yellow-mv8u2lla,Over-Ear / Headset,,,Montado (invisible),"3.5 mm.
Bluetooth",406990,406990,406990,406990,406990
126769,Skullcandy Hesh ANC Noise Canceling Wireless Headphones - White,129990,129990,0,0,https://www.solotodo.cl/products/126769-skullcandy-hesh-anc-noise-canceling-wireless-headphones-white,Over-Ear / Headset,20 - 20000 Hz.,40 mm.,Montado (invisible),Bluetooth,,,129990,129990,129990
48023,Bose QuietComfort 35 II (Silver) (QC35IISIL),224990,224990,0,0,https://www.solotodo.cl/products/48023-bose-quietcomfort-35-ii-silver-qc35iisil,Over-Ear / Headset,,,Montado (invisible),Bluetooth,224990,224990,224990,224990,224990
69273,Bose Noise Cancelling Headphones 700 - Blanco (7942970300),369990,369990,0,0,https://www.solotodo.cl/products/69273-bose-noise-cancelling-headphones-700-blanco-7942970300,Over-Ear / Headset,,,Montado (invisible),Bluetooth,369990,369990,369990,369990,369990
47315,Beats Solo3 Wireless - Rose Gold (MNET2BE/A),149990,149990,0,0,https://www.solotodo.cl/products/47315-beats-solo3-wireless-rose-gold-mnet2bea,Over-Ear / Headset,,,Montado (invisible),"3.5 mm.
Bluetooth",149990,149990,149990,149990,149990
47313,Beats Solo3 Wireless - Red (MP162LL/A),149990,149990,0,0,https://www.solotodo.cl/products/47313-beats-solo3-wireless-red-mp162lla,Over-Ear / Headset,,,Montado (invisible),"3.5 mm.
Bluetooth",149990,149990,149990,149990,149990
102235,Bose QuietComfort Earbuds - Negro,264990,264990,0,0,https://www.solotodo.cl/products/102235-bose-quietcomfort-earbuds-negro,True Wireless,,,Montado (invisible),Bluetooth,264990,264990,264990,264990,264990
91892,Skullcandy Crusher ANC - Negro,195990,195990,0,0,https://www.solotodo.cl/products/91892-skullcandy-crusher-anc-negro,Over-Ear / Headset,20 - 20000 Hz.,40 mm.,Montado (invisible),"3.5 mm.
Bluetooth",195990,195990,195990,195990,195990
85666,JBL Quantum 800 (JBLQUANTUM800BLKAM),184990,184990,0,0,https://www.solotodo.cl/products/85666-jbl-quantum-800-jblquantum800blkam,Over-Ear / Headset,20 - 20000 Hz.,50 mm.,Externo (estilo headset),Bluetooth,184990,184990,184990,184990,184990
