id,name,price,today,diff price,diff percent,url,size,resolution,ms,hz,g-sync,freesync,08/12/21,09/12/21,10/12/21,11/12/21,12/12/21
83079,LG 34WN750-B,629990,629990,0,0,https://www.solotodo.cl/products/83079-lg-34wn750-b,"34.0""",3440x1440,5 ms,75 Hz,No,Sí,629990,629990,629990,629990,629990
91716,ASUS ROG Strix XG279Q,642000,642000,0,0,https://www.solotodo.cl/products/91716-asus-rog-strix-xg279q,"27.0""",Quad HD (2560x1440),1 ms,170 Hz,G-Sync Compatible,No,642000,642000,642000,642000,642000
116301,Lenovo ThinkVision S27e-20 (62AFKAR2CL),149990,149990,0,0,https://www.solotodo.cl/products/116301-lenovo-thinkvision-s27e-20-62afkar2cl,"27.0""",Full HD (1920x1080),4 ms,60 Hz,No,Sí,149990,149990,149990,149990,149990
79945,ASUS TUF VG289Q,389990,389990,0,0,https://www.solotodo.cl/products/79945-asus-tuf-vg289q,"28.0""",Ultra HD (3840x2160),5 ms,60 Hz,G-Sync Compatible,Sí,389990,389990,389990,389990,389990
89463,MSI Optix MAG273,339000,339000,0,0,https://www.solotodo.cl/products/89463-msi-optix-mag273,"27.0""",Full HD (1920x1080),1 ms,144 Hz,No,Sí,339000,339000,339000,339000,339000
43046,Viewsonic VX3211-2K-MHD,329990,329990,0,0,https://www.solotodo.cl/products/43046-viewsonic-vx3211-2k-mhd,"32.0""",Quad HD (2560x1440),3 ms,75 Hz,No,No,329990,329990,329990,329990,329990
116446,Ozone DSP28 IPS,299990,299990,0,0,https://www.solotodo.cl/products/116446-ozone-dsp28-ips,"28.0""",Ultra HD (3840x2160),4 ms,60 Hz,G-Sync Compatible,Sí,299990,299990,299990,299990,299990
71822,Viewsonic VA2759-SMH,183872,183872,0,0,https://www.solotodo.cl/products/71822-viewsonic-va2759-smh,"27.0""",Full HD (1920x1080),7 ms,60 Hz,No,No,183872,183872,183872,183872,183872
115280,Redragon Emerald GM270F165,199990,199990,0,0,https://www.solotodo.cl/products/115280-redragon-emerald-gm270f165,"27.0""",Full HD (1920x1080),1 ms,165 Hz,No,Sí,199990,199990,199990,199990,199990
103163,Samsung F27T35 (LF27T350FHLXZS),169990,169990,0,0,https://www.solotodo.cl/products/103163-samsung-f27t35-lf27t350fhlxzs,"27.0""",Full HD (1920x1080),5 ms,75 Hz,No,Sí,169990,169990,169990,169990,169990
72233,BenQ GW2780 (9H.LGELB.QBL),169990,169990,0,0,https://www.solotodo.cl/products/72233-benq-gw2780-9hlgelbqbl,"27.0""",Full HD (1920x1080),5 ms,60 Hz,No,No,169990,169990,169990,169990,169990
101663,Lenovo ThinkVision T27i-10 (61C6MAR1CL),179990,179990,0,0,https://www.solotodo.cl/products/101663-lenovo-thinkvision-t27i-10-61c6mar1cl,"27.0""",Full HD (1920x1080),6 ms,60 Hz,No,No,179990,179990,179990,179990,179990
98117,HP V27i (9SV92AA),189990,189990,0,0,https://www.solotodo.cl/products/98117-hp-v27i-9sv92aa,"27.0""",Full HD (1920x1080),5 ms,60 Hz,No,No,189990,189990,189990,189990,189990
29698,Viewsonic VX2776-SMHD,189990,189990,0,0,https://www.solotodo.cl/products/29698-viewsonic-vx2776-smhd,"27.0""",Full HD (1920x1080),4 ms,60 Hz,No,No,189990,189990,189990,189990,189990
109427,ASUS ROG Strix XG27AQ,592192,592192,0,0,https://www.solotodo.cl/products/109427-asus-rog-strix-xg27aq,"27.0""",Quad HD (2560x1440),1 ms,170 Hz,G-Sync Compatible,Sí,592800,592800,590976,592192,592192
81614,LG 27MK430H-B,189990,189990,0,0,https://www.solotodo.cl/products/81614-lg-27mk430h-b,"27.0""",Full HD (1920x1080),5 ms,75 Hz,No,Sí,189990,189990,189990,189990,189990
34785,Viewsonic VA2719-SMH,189990,189990,0,0,https://www.solotodo.cl/products/34785-viewsonic-va2719-smh,"27.0""",Full HD (1920x1080),5 ms,60 Hz,No,No,189990,189990,189990,189990,189990
74720,Dell P2719H (210-AQCS),237490,237490,0,0,https://www.solotodo.cl/products/74720-dell-p2719h-210-aqcs,"27.0""",Full HD (1920x1080),8 ms,60 Hz,No,No,237490,237490,237490,237490,237490
93455,Gigabyte M27F / M27F-SA,259000,259000,0,0,https://www.solotodo.cl/products/93455-gigabyte-m27f-m27f-sa,"27.0""",Full HD (1920x1080),Desconocido,144 Hz,No,Sí,259000,259000,259000,259000,259000
74600,HP 27fw (3KS64AA),229990,229990,0,0,https://www.solotodo.cl/products/74600-hp-27fw-3ks64aa,"27.0""",Full HD (1920x1080),5 ms,75 Hz,No,No,229990,229990,229990,229990,229990
57831,Viewsonic VX3276-MHD,278000,278000,0,0,https://www.solotodo.cl/products/57831-viewsonic-vx3276-mhd,"31,5""",Full HD (1920x1080),4 ms,60 Hz,No,No,278000,278000,278000,278000,278000
89006,Acer HA270 Abi (UM.HW0AA.A01),290990,290990,0,0,https://www.solotodo.cl/products/89006-acer-ha270-abi-umhw0aaa01,"27.0""",Full HD (1920x1080),4 ms,75 Hz,No,Sí,290990,290990,290990,290990,290990
108337,Lenovo ThinkVision S28u-10 (61E6GAR2CL),219990,219990,0,0,https://www.solotodo.cl/products/108337-lenovo-thinkvision-s28u-10-61e6gar2cl,"28.0""",Ultra HD (3840x2160),6 ms,60 Hz,No,No,219990,219990,219990,219990,219990
119198,MSI Optix MAG274R2,299990,299990,0,0,https://www.solotodo.cl/products/119198-msi-optix-mag274r2,"27.0""",Full HD (1920x1080),Desconocido,165 Hz,G-Sync Compatible,No,299990,299990,299990,299990,299990
82807,LG 29WN600-W,299990,299990,0,0,https://www.solotodo.cl/products/82807-lg-29wn600-w,"29.0""",2560x1080,5 ms,75 Hz,No,Sí,299990,299990,299990,299990,299990
82594,ASUS ProArt PA278QV,349000,349000,0,0,https://www.solotodo.cl/products/82594-asus-proart-pa278qv,"27.0""",Quad HD (2560x1440),5 ms,75 Hz,No,Sí,349000,349000,349000,349000,349000
123254,"Epsylon White (27"" / Full HD / 144 Hz)",279990,279990,0,0,https://www.solotodo.cl/products/123254-epsylon-white-27-full-hd-144-hz,"27.0""",Full HD (1920x1080),1 ms,144 Hz,No,No,279990,279990,279990,279990,279990
120217,ASUS VG279Q1A,279990,279990,0,0,https://www.solotodo.cl/products/120217-asus-vg279q1a,"27.0""",Full HD (1920x1080),4 ms,165 Hz,No,Sí,279990,279990,279990,279990,279990
120157,HP M27fw (2H1A4AA),209990,209990,0,0,https://www.solotodo.cl/products/120157-hp-m27fw-2h1a4aa,"27.0""",Full HD (1920x1080),5 ms,75 Hz,No,Sí,209990,209990,209990,209990,209990
86061,Lenovo L27i-28 (65E0KAC1CL),219990,219990,0,0,https://www.solotodo.cl/products/86061-lenovo-l27i-28-65e0kac1cl,"27.0""",Full HD (1920x1080),4 ms,75 Hz,No,Sí,219990,219990,219990,219990,219990
109599,MSI Optix MAG274,299900,299900,0,0,https://www.solotodo.cl/products/109599-msi-optix-mag274,"27.0""",Full HD (1920x1080),1 ms,144 Hz,No,Sí,299900,299900,299900,299900,299900
85125,Gigabyte G27F / G27F-SA,259990,259990,0,0,https://www.solotodo.cl/products/85125-gigabyte-g27f-g27f-sa,"27.0""",Full HD (1920x1080),Desconocido,144 Hz,No,Sí,259990,259990,259990,259990,259990
43047,Viewsonic VA2719-2K-SMHD,299990,299990,0,0,https://www.solotodo.cl/products/43047-viewsonic-va2719-2k-smhd,"27.0""",Quad HD (2560x1440),5 ms,60 Hz,No,No,299990,299990,299990,299990,299990
91165,Gigabyte M27Q / M27Q-SA,345990,345990,0,0,https://www.solotodo.cl/products/91165-gigabyte-m27q-m27q-sa,"27.0""",Quad HD (2560x1440),Desconocido,170 Hz,No,Sí,345990,345990,345990,345990,345990
108773,Viewsonic VG2748,299990,299990,0,0,https://www.solotodo.cl/products/108773-viewsonic-vg2748,"27.0""",Full HD (1920x1080),5 ms,75 Hz,No,No,299990,299990,299990,299990,299990
92704,MSI Optix MAG274R,209990,209990,0,0,https://www.solotodo.cl/products/92704-msi-optix-mag274r,"27.0""",Full HD (1920x1080),1 ms,144 Hz,G-Sync Compatible,Sí,209990,209990,209990,209990,209990
66654,LG 49WL95C-W,1607496,1607496,0,0,https://www.solotodo.cl/products/66654-lg-49wl95c-w,"49.0""",5120x1440,5 ms,60 Hz,No,No,,,,1607496,1607496
81959,LG 32MN500M-B,222875,222912,37,-0,https://www.solotodo.cl/products/81959-lg-32mn500m-b,"32.0""",Full HD (1920x1080),5 ms,60 Hz,No,Sí,222819,222819,222912,222912,222912
119891,HP Z27X G2 (2NJ08A4),1998060,1998820,760,-0,https://www.solotodo.cl/products/119891-hp-z27x-g2-2nj08a4,"27.0""",Quad HD (2560x1440),10 ms,60 Hz,No,No,2001240,1996510,1994910,1998820,1998820
76550,ASUS VA27EHE,178725,179500,775,-0,https://www.solotodo.cl/products/76550-asus-va27ehe,"27.0""",Full HD (1920x1080),5 ms,75 Hz,No,Sí,175500,179541,179541,179541,179500
123989,Viewsonic VP2785-4K,953641,958715,5074,-1,https://www.solotodo.cl/products/123989-viewsonic-vp2785-4k,"27.0""",Ultra HD (3840x2160),5 ms,60 Hz,No,No,933345,958715,958715,958715,958715
100392,Viewsonic VX2758-2KP-MHD,334140,335940,1800,-1,https://www.solotodo.cl/products/100392-viewsonic-vx2758-2kp-mhd,"27.0""",Quad HD (2560x1440),1 ms,144 Hz,No,Sí,326491,336340,335990,335940,335940
76679,Aorus FI27Q-SA,538834,546100,7266,-1,https://www.solotodo.cl/products/76679-aorus-fi27q-sa,"27.0""",Quad HD (2560x1440),1 ms,165 Hz,No,Sí,533990,533990,533990,546100,546100
79395,MSI Optix G271,216990,219990,3000,-1,https://www.solotodo.cl/products/79395-msi-optix-g271,"27.0""",Full HD (1920x1080),4 ms,144 Hz,No,Sí,214990,214990,214990,219990,219990
111289,Dell P2722HE (210-BBCM),397158,403027,5870,-1,https://www.solotodo.cl/products/111289-dell-p2722he-210-bbcm,"27.0""",Full HD (1920x1080),5 ms,60 Hz,No,No,391288,391288,,403027,403027
125696,Dell P3421W (210-BCEG),732054,742873,10819,-1,https://www.solotodo.cl/products/125696-dell-p3421w-210-bceg,"34.0""",3440x1440,5 ms,60 Hz,No,No,721235,721235,,742873,742873
91339,Dell Alienware AW2721D (210-AXSW),1097366,1113584,16218,-1,https://www.solotodo.cl/products/91339-dell-alienware-aw2721d-210-axsw,"27.0""",Quad HD (2560x1440),1 ms,240 Hz,G-Sync,No,1081148,1081148,,1113584,1113584
120163,Dell E2722HS (210-BBWU),292914,297243,4329,-1,https://www.solotodo.cl/products/120163-dell-e2722hs-210-bbwu,"27.0""",Full HD (1920x1080),8 ms,60 Hz,No,No,288585,,288585,297243,297243
104179,Dell UltraSharp U2722D (210-AYZE),598714,607563,8848,-1,https://www.solotodo.cl/products/104179-dell-ultrasharp-u2722d-210-ayze,"27.0""",Quad HD (2560x1440),5 ms,60 Hz,No,No,589866,589866,,607563,607563
85453,Dell S2721QS (210-AXLG),477329,485819,8490,-2,https://www.solotodo.cl/products/85453-dell-s2721qs-210-axlg,"27.0""",Ultra HD (3840x2160),4 ms,60 Hz,No,Sí,471669,471669,471669,485819,485819
92362,Dell S2721DGF,562942,572955,10013,-2,https://www.solotodo.cl/products/92362-dell-s2721dgf,"27.0""",Quad HD (2560x1440),1 ms,155 Hz,No,Sí,556267,556267,556267,572955,572955
68647,Dell P2720D (210-AULK),418393,425835,7442,-2,https://www.solotodo.cl/products/68647-dell-p2720d-210-aulk,"27.0""",Quad HD (2560x1440),5 ms,60 Hz,No,No,413432,413432,413432,425835,425835
85456,Dell S2721H (210-AXJW),316586,322217,5631,-2,https://www.solotodo.cl/products/85456-dell-s2721h-210-axjw,"27.0""",Full HD (1920x1080),4 ms,75 Hz,No,Sí,312832,312832,312832,322217,322217
92363,Dell UltraSharp U3421WE,1111194,1130959,19765,-2,https://www.solotodo.cl/products/92363-dell-ultrasharp-u3421we,"34.0""",3440x1440,5 ms,60 Hz,No,No,1098018,1098018,1098018,1130959,1130959
85451,Dell S2721HN (210-AXJY),304370,309784,5414,-2,https://www.solotodo.cl/products/85451-dell-s2721hn-210-axjy,"27.0""",Full HD (1920x1080),4 ms,75 Hz,No,Sí,300761,300761,300761,309784,309784
99135,Dell C3422WE (210-AYQL),990849,1008473,17624,-2,https://www.solotodo.cl/products/99135-dell-c3422we-210-ayql,"34.0""",3440x1440,5 ms,60 Hz,No,No,979099,979099,979099,1008473,1008473
104479,Dell UltraSharp U2722DE (210-AYZG),651773,663366,11593,-2,https://www.solotodo.cl/products/104479-dell-ultrasharp-u2722de-210-ayzg,"27.0""",Quad HD (2560x1440),5 ms,60 Hz,No,No,644044,644044,644044,663366,663366
28024,Dell UP3017 (210-AJGT),1227681,1249518,21837,-2,https://www.solotodo.cl/products/28024-dell-up3017-210-ajgt,"30.0""",2560x1600,6 ms,60 Hz,No,No,1213123,1213123,1213123,1249518,1249518
88091,Dell P2721Q (210-AXLT),586835,597273,10438,-2,https://www.solotodo.cl/products/88091-dell-p2721q-210-axlt,"27.0""",Ultra HD (3840x2160),5 ms,60 Hz,No,No,579876,579876,579876,597273,597273
51980,Dell UltraSharp U3219Q,1099695,1119256,19561,-2,https://www.solotodo.cl/products/51980-dell-ultrasharp-u3219q,"31,5""",Ultra HD (3840x2160),8 ms,60 Hz,No,No,1086655,1086655,1086655,1119256,1119256
111385,Dell P3222QE (210-BBCQ),691808,704113,12305,-2,https://www.solotodo.cl/products/111385-dell-p3222qe-210-bbcq,"32.0""",Ultra HD (3840x2160),5 ms,60 Hz,No,No,683604,683604,683604,704113,704113
74135,Dell UltraSharp U4320Q,1171942,1192788,20846,-2,https://www.solotodo.cl/products/74135-dell-ultrasharp-u4320q,"42,5""",Ultra HD (3840x2160),8 ms,60 Hz,No,No,1158045,1158045,1158045,1192788,1192788
99236,Dell C2722DE (210-AYQG),683709,695870,12161,-2,https://www.solotodo.cl/products/99236-dell-c2722de-210-ayqg,"27.0""",Quad HD (2560x1440),5 ms,60 Hz,No,No,675601,675601,675601,695870,695870
98423,Dell UltraSharp U3821DW,1396419,1421258,24839,-2,https://www.solotodo.cl/products/98423-dell-ultrasharp-u3821dw,"38.0""",3840x1600,5 ms,60 Hz,No,No,1379860,1379860,1379860,1421258,1421258
74134,Dell UltraSharp U2720Q,694633,706989,12356,-2,https://www.solotodo.cl/products/74134-dell-ultrasharp-u2720q,"27.0""",Ultra HD (3840x2160),8 ms,60 Hz,No,No,686396,686396,686396,706989,706989
68646,Dell P2720DC (210-AULN),465056,473328,8272,-2,https://www.solotodo.cl/products/68646-dell-p2720dc-210-auln,"27.0""",Quad HD (2560x1440),5 ms,60 Hz,No,No,459541,459541,459541,473328,473328
67461,Dell Alienware AW2720HF (210-ATWF),587363,597811,10448,-2,https://www.solotodo.cl/products/67461-dell-alienware-aw2720hf-210-atwf,"27.0""",Full HD (1920x1080),1 ms,240 Hz,No,Sí,580398,580398,580398,597811,597811
88090,Dell P3221D (210-AXLX),619032,630043,11011,-2,https://www.solotodo.cl/products/88090-dell-p3221d-210-axlx,"32.0""",Quad HD (2560x1440),5 ms,60 Hz,No,No,611691,611691,611691,630043,630043
85450,Dell S2721DS (210-AXKP),385496,392353,6857,-2,https://www.solotodo.cl/products/85450-dell-s2721ds-210-axkp,"27.0""",Quad HD (2560x1440),8 ms,75 Hz,No,Sí,380924,380924,380924,392353,392353
96754,Acer R271 Bbix (UM.HR1AA.B01),191396,199000,7604,-4,https://www.solotodo.cl/products/96754-acer-r271-bbix-umhr1aab01,"27.0""",Full HD (1920x1080),5 ms,75 Hz,No,Sí,179990,179990,199000,199000,199000
101661,Lenovo ThinkVision P32p-20 (62A2GAR2CL),379990,399990,20000,-5,https://www.solotodo.cl/products/101661-lenovo-thinkvision-p32p-20-62a2gar2cl,"31,5""",Ultra HD (3840x2160),6 ms,60 Hz,No,No,399990,399990,399990,299990,399990
121436,LG UltraGear 27GP850-B,433989,,,,https://www.solotodo.cl/products/121436-lg-ultragear-27gp850-b,"27.0""",Quad HD (2560x1440),1 ms,165 Hz,G-Sync Compatible,Sí,433989,433989,,433989,
