id,name,type,size,resolution,smartTV,url,price,diff price,diff percent,28/11/21,29/11/21,30/11/21,01/12/21,02/12/21
81044,Samsung VG43BWQN43TA + Marco Nogal,QLED,"43.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/81044-samsung-vg43bwqn43ta-marco-nogal,639990,0,0,,,,639990,639990
94645,Samsung QN75LST7TA + Soundbar Samsung HW-LST70T + Soporte Pared,QLED,"75.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/94645-samsung-qn75lst7ta-soundbar-samsung-hw-lst70t-soporte-pared,2999990,0,0,2999990,2999990,2999990,2999990,2999990
113029,Sony Bravia XR-65A80J,OLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/113029-sony-bravia-xr-65a80j,1699990,0,0,1699990,1699990,1699990,1699990,1699990
109212,Samsung QN85QN85A + TV QLED 32'' The Frame + Marco Marrón,QLED,"85.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/109212-samsung-qn85qn85a-tv-qled-32-the-frame-marco-marron,3999990,0,0,3999990,3999990,3999990,3999990,3999990
122207,Samsung QN85QN800A + Soundbar Samsung HW-Q800T,QLED,"85.0""",8K Full Ultra HD (7680x4320),Sí,https://www.solotodo.cl/products/122207-samsung-qn85qn800a-soundbar-samsung-hw-q800t,4499990,0,0,4499990,4499990,4499990,4499990,4499990
91231,Samsung QN55LST7TA,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/91231-samsung-qn55lst7ta,2099990,0,0,2099990,2099990,2099990,2099990,2099990
111003,LG 75NANO95SPA,NanoCell,"75.0""",8K Full Ultra HD (7680x4320),Sí,https://www.solotodo.cl/products/111003-lg-75nano95spa,1899990,0,0,1899990,1899990,1899990,1899990,1899990
107906,Samsung QN75QN900A,QLED,"75.0""",8K Full Ultra HD (7680x4320),Sí,https://www.solotodo.cl/products/107906-samsung-qn75qn900a,3199990,0,0,3199990,3199990,3199990,3199990,3199990
122846,Samsung QN55QN90A + Soundbar HW-Q900A + Speaker SWA-9500S,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/122846-samsung-qn55qn90a-soundbar-hw-q900a-speaker-swa-9500s,1479990,0,0,1479990,1479990,1479990,1479990,1479990
109201,Samsung QN85QN85A + Soundbar Samsung HW-Q800T,QLED,"85.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/109201-samsung-qn85qn85a-soundbar-samsung-hw-q800t,3299990,0,0,3299990,3299990,3299990,3299990,3299990
122926,Samsung QN75LS03A + Marco Café Clásico,QLED,"75.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/122926-samsung-qn75ls03a-marco-cafe-clasico,1499990,0,0,1499990,1499990,1499990,1499990,1499990
107902,Samsung QN85QN800A,QLED,"85.0""",8K Full Ultra HD (7680x4320),Sí,https://www.solotodo.cl/products/107902-samsung-qn85qn800a,3299990,0,0,3299990,3299990,3299990,3299990,3299990
122844,Samsung QN85QN85A + Soundbar HW-Q900A + Speaker SWA-9500S,QLED,"85.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/122844-samsung-qn85qn85a-soundbar-hw-q900a-speaker-swa-9500s,3269980,0,0,3269980,3269980,3269980,3269980,3269980
107898,Samsung QN55Q80A,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/107898-samsung-qn55q80a,648490,-1500,-0,656990,656990,649990,629990,649990
79257,Samsung QN65LS03TA,QLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/79257-samsung-qn65ls03ta,942490,-7500,-1,939990,939990,939990,949990,949990
116476,LG 70NANO75SPA,NanoCell,"70.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/116476-lg-70nano75spa,654490,-5500,-1,679990,638990,638990,659990,659990
111001,LG 75NANO75SPA,NanoCell,"75.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/111001-lg-75nano75spa,840990,-9000,-1,827990,827990,827990,879990,849990
106164,Samsung QN50Q60A,QLED,"50.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/106164-samsung-qn50q60a,415490,-4500,-1,413990,413990,413990,419990,419990
113027,Sony Bravia XR-55A80J,OLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/113027-sony-bravia-xr-55a80j,1087490,-12500,-1,1049990,1099990,1099990,1099990,1099990
111652,Samsung QN50LS03A,QLED,"50.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/111652-samsung-qn50ls03a,611990,-8000,-1,638990,638990,549990,619990,619990
113028,Sony Bravia XR-77A80J,OLED,"77.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/113028-sony-bravia-xr-77a80j,2819990,-60000,-2,2799990,2799990,2799990,2879990,2879990
105634,Samsung QN65QN85A,QLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/105634-samsung-qn65qn85a,939990,-20000,-2,939990,939990,939990,939990,959990
118405,LG OLED48A1PSA + Audífonos LG TONE Free FN4,OLED,"48.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/118405-lg-oled48a1psa-audifonos-lg-tone-free-fn4,489490,-10500,-2,485990,485990,485990,499990,499990
110618,LG 55NANO75SPA,NanoCell,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/110618-lg-55nano75spa,429740,-10250,-2,422990,422990,422990,449990,439990
107903,Samsung QN55QN85A,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/107903-samsung-qn55qn85a,766990,-23000,-3,755990,755990,755990,799990,789990
111002,LG 75NANO90SPA,NanoCell,"75.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/111002-lg-75nano90spa,1064740,-35250,-3,1052990,1052990,1052990,1099990,1099990
107895,Samsung QN55Q70A,QLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/107895-samsung-qn55q70a,609740,-20250,-3,602990,602990,602990,629990,629990
121556,Samsung QN55QN700A,QLED,"55.0""",8K Full Ultra HD (7680x4320),Sí,https://www.solotodo.cl/products/121556-samsung-qn55qn700a,1110990,-39000,-4,1097990,1097990,1097990,1149990,1149990
110990,LG 65NANO75SPA,NanoCell,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/110990-lg-65nano75spa,577740,-22250,-4,566990,566990,566990,609990,599990
106320,Samsung QN60Q60A,QLED,"60.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/106320-samsung-qn60q60a,519740,-20250,-4,512990,512990,512990,539990,539990
109224,LG 50NANO75SPA,NanoCell,"50.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/109224-lg-50nano75spa,355740,-14250,-4,350990,350990,350990,369990,369990
107905,Samsung QN85QN85A,QLED,"85.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/107905-samsung-qn85qn85a,2400240,-99750,-4,2366990,2366990,2366990,2499990,2499990
118014,Samsung QN50QN90A,QLED,"50.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/118014-samsung-qn50qn90a,709990,-30000,-4,699990,699990,699990,739990,739990
106067,LG OLED65C1PSA,OLED,"65.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/106067-lg-oled65c1psa,1332990,-57000,-4,1313990,1313990,1313990,1389990,1389990
116371,LG OLED55C1PSA + Audífonos LG TONE Free FN4,OLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/116371-lg-oled55c1psa-audifonos-lg-tone-free-fn4,1014997,-44993,-4,999999,999999,999999,1059990,1059990
108139,LG 50NANO80SPA,NanoCell,"50.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/108139-lg-50nano80spa,401990,-18000,-4,395990,395990,395990,419990,419990
118406,LG OLED48C1PSA + Audífonos LG TONE Free FN4,OLED,"48.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/118406-lg-oled48c1psa-audifonos-lg-tone-free-fn4,621490,-28500,-5,611990,611990,611990,649990,649990
115338,Samsung QN50LS01TA,QLED,"50.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/115338-samsung-qn50ls01ta,621490,-28500,-5,611990,611990,611990,649990,649990
106068,LG OLED55C1PSA,OLED,"55.0""",4k Ultra HD (3840x2160),Sí,https://www.solotodo.cl/products/106068-lg-oled55c1psa,840990,-39000,-5,827990,827990,827990,879990,879990
