id,name,price,today,diff price,diff percent,socket,brightness,eq power,watts,url,15/12/21,16/12/21,17/12/21,18/12/21,19/12/21,20/12/21,21/12/21,22/12/21,23/12/21,24/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,02/01/22,03/01/22,04/01/22,05/01/22,06/01/22,07/01/22,08/01/22,09/01/22,10/01/22,11/01/22,12/01/22,13/01/22,14/01/22,15/01/22,16/01/22,17/01/22,18/01/22,19/01/22,20/01/22,21/01/22,24/01/22,25/01/22,26/01/22,27/01/22,28/01/22,29/01/22,31/01/22,01/02/22,02/02/22,03/02/22,04/02/22,05/02/22
27469,Ampolleta LED Rhona (E27 / A60 / 10W / Luz cálida),4679,4679,0,0,E27,Desconocido,Desconocido,10 W.,https://www.solotodo.cl/products/27469-ampolleta-led-rhona-e27-a60-10w-luz-calida,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679
93973,Ampolleta LED IRT Inteligente WIFI RGB (E27 / Bulbo / 7 - 60W / Luz RGB),15190,15190,0,0,E27,550 lm.,60 W.,7 W.,https://www.solotodo.cl/products/93973-ampolleta-led-irt-inteligente-wifi-rgb-e27-bulbo-7-60w-luz-rgb,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,15190,,,,,15190,15190,15190
42347,Ampolleta LED Philips Hue segunda generación (E27 / Bulbo / 10 - 60W / Luz multicolor),29990,29990,0,0,E27,800 lm.,60 W.,10 W.,https://www.solotodo.cl/products/42347-ampolleta-led-philips-hue-segunda-generacion-e27-bulbo-10-60w-luz-multicolor,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,29990,,,,,29990,29990,29990
42607,Ampolleta LED Lucila (Dimeable) (E14 / Globo / 4W / Luz cálida),2840,2840,0,0,E14,430 lm.,Desconocido,3.6 W.,https://www.solotodo.cl/products/42607-ampolleta-led-lucila-dimeable-e14-globo-4w-luz-calida,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840
97573,Ampolleta LED Philips Hue Starter Kit E27 (E27 / A60 / 9 - 60W / Luz Cálida),80690,80690,0,0,E27,806 lm.,60 W.,9 W.,https://www.solotodo.cl/products/97573-ampolleta-led-philips-hue-starter-kit-e27-e27-a60-9-60w-luz-calida,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690,80690
37527,Ampolleta LED Lucila (E27 / A60 / 2 - 40W / Luz cálida),2230,2230,0,0,E27,220 lm.,40 W.,2 W.,https://www.solotodo.cl/products/37527-ampolleta-led-lucila-e27-a60-2-40w-luz-calida,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230,2230
37528,Ampolleta LED Lucila (E27 / A60 / 4 - 60W / Luz cálida),2510,2510,0,0,E27,440 lm.,60 W.,4 W.,https://www.solotodo.cl/products/37528-ampolleta-led-lucila-e27-a60-4-60w-luz-calida,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510,2510
97571,Ampolleta LED Philips Hue (E27 / A60 / 9 - 60W / Luz multicolor),47490,47490,0,0,E27,800 lm.,60 W.,9 W.,https://www.solotodo.cl/products/97571-ampolleta-led-philips-hue-e27-a60-9-60w-luz-multicolor,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,47490,,,,,47490,47490,47490
45611,Ampolleta LED OPPLE (E27 / Bulbo / 14W / Luz blanca neutra),2630,2630,0,0,E27,Desconocido,Desconocido,14 W.,https://www.solotodo.cl/products/45611-ampolleta-led-opple-e27-bulbo-14w-luz-blanca-neutra,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630
27470,Ampolleta LED Rhona (E27 / A60 / 8W / Luz Día),2607,2607,0,0,E27,Desconocido,Desconocido,8 W.,https://www.solotodo.cl/products/27470-ampolleta-led-rhona-e27-a60-8w-luz-dia,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607
27471,Ampolleta LED Rhona (E27 / A60 / 8W / Luz cálida),2607,2607,0,0,E27,Desconocido,Desconocido,8 W.,https://www.solotodo.cl/products/27471-ampolleta-led-rhona-e27-a60-8w-luz-calida,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607,2607
64063,Ampolleta LED OPPLE E-R63-CT (E27 / R63 / 9W / Luz fría),1415,1415,0,0,E27,700 lm.,Desconocido,9 W.,https://www.solotodo.cl/products/64063-ampolleta-led-opple-e-r63-ct-e27-r63-9w-luz-fria,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415
42609,Ampolleta LED Lucila (Dimeable) (E14 / Vela / 2 - 40W / Luz cálida),2560,2560,0,0,E14,550 lm.,40 W.,2 W.,https://www.solotodo.cl/products/42609-ampolleta-led-lucila-dimeable-e14-vela-2-40w-luz-calida,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560
42608,Ampolleta LED Lucila SMD Spot (E27 / Bulbo / 10W / Luz fría),1730,1730,0,0,E27,800 lm.,Desconocido,10 W.,https://www.solotodo.cl/products/42608-ampolleta-led-lucila-smd-spot-e27-bulbo-10w-luz-fria,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730
45612,Ampolleta LED OPPLE (E27 / Bulbo / 14W / Luz cálida),2898,2898,0,0,E27,Desconocido,Desconocido,14 W.,https://www.solotodo.cl/products/45612-ampolleta-led-opple-e27-bulbo-14w-luz-calida,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898
27474,Ampolleta LED Rhona (GU10 / MR16 / 5W / Luz cálida),1466,1466,0,0,GU10,Desconocido,Desconocido,5 W.,https://www.solotodo.cl/products/27474-ampolleta-led-rhona-gu10-mr16-5w-luz-calida,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466
42606,Ampolleta LED Lucila (Dimeable) (E27 / A60 / 8W / Luz cálida),5100,5100,0,0,E27,1055 lm.,Desconocido,8.5 W.,https://www.solotodo.cl/products/42606-ampolleta-led-lucila-dimeable-e27-a60-8w-luz-calida,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
27448,Ampolleta LED Rhona (E27 / A60 / 10W / Luz Día),4679,4679,0,0,E27,Desconocido,Desconocido,10 W.,https://www.solotodo.cl/products/27448-ampolleta-led-rhona-e27-a60-10w-luz-dia,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679,4679
126343,Ampolleta LED Wirmel Inteligente SB-500 (E27 / Bulbo / 4W / Luz RGB),7947,8490,543,-7,E27,Desconocido,Desconocido,4.5 W.,https://www.solotodo.cl/products/126343-ampolleta-led-wirmel-inteligente-sb-500-e27-bulbo-4w-luz-rgb,6990,6990,6990,6990,6990,6990,6990,6990,6990,6990,8490,7990,7990,7990,7990,7990,7990,8490,8490,8490,8490,8490,8490,8490,8490,8490,8490,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,8490,8490,8490,8490,8490,8490
95144,Ampolleta LED Xiaomi Inteligente Wi-FI MJDPL01YL (E27 / Bulbo / 9W / Luz RGB),15057,16090,1033,-7,E27,950 lm.,Desconocido,9 W.,https://www.solotodo.cl/products/95144-ampolleta-led-xiaomi-inteligente-wi-fi-mjdpl01yl-e27-bulbo-9w-luz-rgb,14990,14990,14990,14990,14990,14990,14990,14990,14990,14990,14990,14990,14990,14990,14990,16090,16090,16090,16090,16090,16090,16090,16090,16090,16090,16090,16090,16090,16090,16090,16090,16090,12990,12990,12990,12990,12990,12990,12990,12990,12990,12990,16090,16090,16090,16090,16090
128347,Ampolleta LED Sonoff (E27 / Bulbo / 7 - 60W / Luz Cálida + fría),11343,12290,947,-8,E27,700 lm.,60 W.,7 W.,https://www.solotodo.cl/products/128347-ampolleta-led-sonoff-e27-bulbo-7-60w-luz-calida-fria,,,,,,,,,,,,,12290,12290,12290,12290,12290,12290,12290,12290,12290,12290,12290,12290,12290,12290,12290,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,9990,12290,12290,12290,12290,12290,12290
125126,Ampolleta LED Wirmel Inteligente IO-WIFIGU10G (GU10 / Plano / 4W / Luz RGB),8173,10390,2217,-27,GU10,Desconocido,Desconocido,4.5 W.,https://www.solotodo.cl/products/125126-ampolleta-led-wirmel-inteligente-io-wifigu10g-gu10-plano-4w-luz-rgb,6990,6990,6990,6990,6990,6990,6990,6990,6990,6990,10390,6990,6990,6990,6990,6990,6990,10390,10390,10390,10390,10390,10390,10390,10390,10390,10390,6990,6990,6990,6990,6990,6990,6990,6990,6990,6990,6990,6990,6990,6990,10390,10390,10390,10390,10390,10390
99097,Ampolleta LED Wirmel Inteligente SB-200 (E27 / Bulbo / 8W / Luz RGB),8490,,,,E27,Desconocido,Desconocido,8.5 W.,https://www.solotodo.cl/products/99097-ampolleta-led-wirmel-inteligente-sb-200-e27-bulbo-8w-luz-rgb,8490,8490,8490,8490,8490,8490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
