id,name,type,screen,size,hearth rate,waterproof,conectividad,url,price,diff price,23/11/21,24/11/21,25/11/21,26/11/21
90925,Apple Watch 6 44mm (GPS + Cellular / Sport Band / Graphite) [M09J3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/90925-apple-watch-6-44mm-gps-cellular-sport-band-graphite-m09j3bea,799990,0,799990.0,799990.0,799990.0,799990
88317,Apple Watch 6 44mm (GPS + Cellular / Sport Band / Space Gray) [MG2E3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88317-apple-watch-6-44mm-gps-cellular-sport-band-space-gray-mg2e3bea,749990,0,749990.0,749990.0,749990.0,749990
92599,Apple Watch 6 44mm (GPS + Cellular / Sport Band / Gold / Cyprus Green) [M09F3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/92599-apple-watch-6-44mm-gps-cellular-sport-band-gold-cyprus-green-m09f3bea,729990,0,729990.0,729990.0,729990.0,729990
91428,Apple Watch 6 40mm (GPS + Cellular / Milanese Loop / Silver) [M06U3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/91428-apple-watch-6-40mm-gps-cellular-milanese-loop-silver-m06u3bea,729990,0,729990.0,729990.0,729990.0,729990
91424,Apple Watch 6 40mm (GPS + Cellular / Milanese Loop / Graphite) [M06Y3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/91424-apple-watch-6-40mm-gps-cellular-milanese-loop-graphite-m06y3bea,729990,0,729990.0,729990.0,729990.0,729990
91423,Apple Watch 6 40mm (GPS + Cellular / Sport Band / Gold / Cyprus Green) [M06V3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/91423-apple-watch-6-40mm-gps-cellular-sport-band-gold-cyprus-green-m06v3bea,679990,0,679990.0,679990.0,679990.0,679990
88316,Apple Watch 6 44mm (GPS + Cellular / Sport Band / Product RED) [M09C3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88316-apple-watch-6-44mm-gps-cellular-sport-band-product-red-m09c3bea,529990,0,529990.0,529990.0,529990.0,529990
91730,Apple Watch 6 Nike 40mm (GPS + Cellular / Sport Band / Silver / Pure Platinum Black),Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/91730-apple-watch-6-nike-40mm-gps-cellular-sport-band-silver-pure-platinum-black,499990,0,499990.0,499990.0,499990.0,499990
91422,Apple Watch 6 Nike 40mm (GPS + Cellular / Sport Band / Space Gray / Anthracite Black),Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/91422-apple-watch-6-nike-40mm-gps-cellular-sport-band-space-gray-anthracite-black,499990,0,499990.0,499990.0,499990.0,499990
90286,Apple Watch 6 40mm (GPS + Cellular / Sport Band / Blue) [M06Q3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/90286-apple-watch-6-40mm-gps-cellular-sport-band-blue-m06q3bea,499990,0,499990.0,499990.0,499990.0,499990
88107,Apple Watch 6 40mm (GPS + Cellular / Sport Band / Product RED) [M06R3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88107-apple-watch-6-40mm-gps-cellular-sport-band-product-red-m06r3bea,499990,0,499990.0,499990.0,499990.0,499990
88108,Apple Watch 6 40mm (GPS + Cellular / Sport Band / Aluminium Dial / Space Gray) [M06P3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88108-apple-watch-6-40mm-gps-cellular-sport-band-aluminium-dial-space-gray-m06p3bea,499990,0,499990.0,499990.0,499990.0,499990
81862,Apple Watch 5 40mm LTE - Aluminium Silver (MWX12CI/A),Smartwatch,"OLED 1,6"" táctil (324x394 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
GSM
LTE
NFC
Wi-Fi",https://www.solotodo.cl/products/81862-apple-watch-5-40mm-lte-aluminium-silver-mwx12cia,499990,0,499990.0,499990.0,499990.0,499990
88318,Apple Watch 6 44mm (GPS + Cellular / Sport Band / Silver) [MG2C3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88318-apple-watch-6-44mm-gps-cellular-sport-band-silver-mg2c3bea,497490,-32500,529990.0,529990.0,399990.0,529990
90287,Apple Watch 6 40mm (GPS + Cellular / Sport Band / Silver) [M06M3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/90287-apple-watch-6-40mm-gps-cellular-sport-band-silver-m06m3bea,494990,-5000,479990.0,499990.0,499990.0,499990
88109,Apple Watch 6 40mm (GPS + Cellular / Sport Band / Pink Sand) [M06N3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
GSM
LTE
NFC
Wi-Fi",https://www.solotodo.cl/products/88109-apple-watch-6-40mm-gps-cellular-sport-band-pink-sand-m06n3bea,494990,-5000,479990.0,499990.0,499990.0,499990
88106,Apple Watch 6 40mm (GPS Only / Sport Band / Pink Sand) [MG123BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88106-apple-watch-6-40mm-gps-only-sport-band-pink-sand-mg123bea,479990,-220000,369990.0,369990.0,,699990
81859,Apple Watch 5 44mm LTE - Aluminium Space Gray (MWWE2CI/A),Smartwatch,"OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
GSM
LTE
NFC
Wi-Fi",https://www.solotodo.cl/products/81859-apple-watch-5-44mm-lte-aluminium-space-gray-mwwe2cia,479990,0,479990.0,479990.0,479990.0,479990
91429,Apple Watch 6 Nike 44mm (GPS Only / Sport Band / Silver / Pure Platinum Black) [MG293BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/91429-apple-watch-6-nike-44mm-gps-only-sport-band-silver-pure-platinum-black-mg293bea,429990,0,429990.0,429990.0,429990.0,429990
88321,Apple Watch 6 44mm (GPS Only / Sport Band / Pink Sand) [M00E3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88321-apple-watch-6-44mm-gps-only-sport-band-pink-sand-m00e3bea,429990,0,429990.0,429990.0,429990.0,429990
91669,Apple Watch 6 44mm (GPS Only / Sport Band / Product RED) [M00M3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/91669-apple-watch-6-44mm-gps-only-sport-band-product-red-m00m3bea,422490,-7500,399990.0,429990.0,429990.0,429990
69132,Apple Watch 5 44mm - Space Gray (MWVF2CI/A),Smartwatch,"OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/69132-apple-watch-5-44mm-space-gray-mwvf2cia,409990,0,409990.0,409990.0,409990.0,409990
69133,Apple Watch 5 44mm - Silver (MWVD2CI/A),Smartwatch,"OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/69133-apple-watch-5-44mm-silver-mwvd2cia,409990,0,409990.0,409990.0,409990.0,409990
91670,Apple Watch 6 Nike 40mm (GPS Only / Sport Band / Space Gray / Anthracite Black) (M00X3BE/A),Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/91670-apple-watch-6-nike-40mm-gps-only-sport-band-space-gray-anthracite-black-m00x3bea,399990,0,399990.0,399990.0,399990.0,399990
91602,Apple Watch 6 Nike 40mm (GPS Only / Sport Band / Silver / Pure Platinum Black),Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/91602-apple-watch-6-nike-40mm-gps-only-sport-band-silver-pure-platinum-black,399990,0,399990.0,399990.0,399990.0,399990
88322,Apple Watch 6 44mm (GPS Only / Sport Band / Silver) [M00D3BE/A],Smartwatch,"Retina LTPO OLED 1,8"" táctil (368x448 px.)",M,Sí,Sí,"Bluetooth Low Energy (LE) 5.0
NFC
Wi-Fi",https://www.solotodo.cl/products/88322-apple-watch-6-44mm-gps-only-sport-band-silver-m00d3bea,399990,0,399990.0,399990.0,399990.0,399990
